Word,Log_Freq_HAL,I_Mean_RT
adjectives,6.426,749.844
adjoin,2.303,907.905
adjoined,2.890,754.276
adjoining,6.441,809.742
adjoins,3.497,891.852
adjourn,5.118,733.667
adjourned,5.398,890.548
adjourning,1.946,820.214
adjournment,4.644,977.607
adjourns,2.398,863.000
adjudge,2.398,784.600
adjudged,4.159,878.273
adjudging,0.693,"1,019.429"
adjudicate,4.762,"1,062.190"
adjudication,5.389,975.562
adjunct,6.615,758.200
adjuncts,4.700,791.690
adjure,2.303,817.095
adjust,9.056,656.000
adjustable,7.846,725.273
adjusted,8.414,687.235
adjusting,7.758,721.333
adjustment,8.450,652.414
adjustments,7.883,788.226
adjusts,6.375,748.886
Adlai,5.124,"1,131.500"
administer,7.747,832.742
administered,8.020,772.188
administering,7.188,850.846
administers,5.953,852.545
administration,10.298,954.273
administration's,6.822,"1,056.077"
administrative,9.157,"1,009.933"
administratively,4.564,"1,010.448"
administrator,10.059,883.529
administrators,8.863,824.067
admirable,6.900,807.969
admirably,6.033,710.065
admiral,8.501,705.938
admirals,5.521,779.226
admiralty,5.529,936.350
admiration,7.231,857.828
admire,8.058,621.029
admired,7.219,699.212
admirer,6.033,891.613
admirers,5.897,744.636
admires,5.521,594.839
admiring,6.433,659.226
admiringly,3.526,840.567
admissible,5.903,895.966
admission,8.700,694.706
admissions,7.464,685.875
admit,10.211,574.647
admits,7.892,636.774
admittance,5.796,743.273
admitted,9.039,774.394
admittedly,8.337,934.231
admitting,7.731,698.917
admixed,0.000,"1,052.200"
admonish,4.942,780.591
admonished,5.541,947.923
admonishing,4.127,895.200
admonishments,3.664,923.143
admonition,5.697,904.150
admonitions,4.533,869.421
ado,6.495,829.235
adobe,8.847,770.233
adolescence,6.669,695.062
adolescent,7.328,780.129
adolescents,6.771,703.441
adolescent's,0.693,774.353
Adolf,7.188,815.645
Adonis,6.207,779.412
adopt,8.649,614.412
adopted,9.153,649.758
adopting,7.509,630.333
adoption,9.065,687.848
adopts,6.114,696.471
adorable,6.841,787.061
adoration,6.068,801.200
adore,6.965,737.545
adored,5.875,677.688
adores,5.375,722.258
adorn,4.796,732.600
adorned,5.557,729.444
adornment,5.485,965.500
adorns,3.892,792.037
adrenal,5.838,867.222
adrenalin,5.775,858.960
Adrian,8.581,838.778
Adriatic,5.687,900.889
adrift,5.468,835.321
adroit,3.761,884.778
adroitness,1.099,885.818
ads,10.191,675.400
adsorbed,4.511,728.133
adsorbs,2.565,847.600
adulation,5.198,942.421
adult,10.136,546.303
adulterant,1.609,955.059
adulterate,2.944,"1,083.391"
adulterated,4.174,914.069
adulterer,4.489,969.720
adulterers,5.056,923.704
adulteress,4.007,854.654
adulterous,4.977,933.200
adultery,7.113,586.697
adulthood,6.773,639.697
adults,9.371,561.531
advance,11.278,626.656
advanced,10.506,637.324
advancement,8.320,633.771
advancements,5.984,907.242
advances,8.437,671.412
advancing,7.641,733.031
advantage,10.419,662.938
advantageous,6.941,993.679
advantageously,3.555,"1,083.643"
advantages,9.200,778.152
advent,7.589,681.879
adventitious,2.890,954.222
adventure,9.462,631.226
adventurers,7.063,870.613
adventures,9.161,761.152
adventuring,5.412,824.500
adventurous,6.974,916.207
adverb,5.004,679.618
adverbial,4.477,911.375
adverbs,5.215,761.206
adversaries,6.026,852.533
adversary,6.600,790.032
adverse,8.039,642.941
adversely,6.806,816.581
adversity,5.771,752.375
advert,6.805,768.562
advertise,8.940,667.424
advertised,8.731,723.029
advertisement,8.488,798.939
advertisements,8.275,839.677
advertiser,7.047,931.839
advertisers,7.820,872.636
advertises,6.732,936.156
advertising,9.987,850.212
advice,10.703,599.588
advisability,4.078,"1,059.643"
advisable,7.091,850.200
advise,9.112,726.862
advised,8.622,685.743
advisedly,3.401,838.414
advisement,4.369,832.741
adviser,6.931,666.200
advisers,6.006,750.182
advises,6.755,760.233
advising,6.902,632.242
advisor,8.420,635.647
advisors,7.196,667.273
advisory,8.360,647.259
advocacy,8.249,708.862
advocate,8.891,621.812
advocated,7.368,724.467
advocates,8.639,641.091
advocating,8.036,785.229
Aegean,7.366,"1,022.235"
aerate,4.883,954.714
aerated,4.174,"1,144.167"
aerates,2.996,910.000
aeration,5.318,"1,068.222"
aerator,4.060,913.909
aerial,7.952,828.333
aerials,4.143,799.826
aerobatic,5.220,817.160
aerobic,7.226,721.061
aerodynamic,6.221,"1,020.769"
aeronaut,0.000,"1,022.158"
aeronautical,6.323,948.217
aeronautics,6.568,984.692
aeroplane,5.384,842.478
aerosol,6.043,812.970
aerosolized,3.584,"1,195.308"
aerosols,5.613,783.731
aerospace,8.177,883.600
Aeschylus,4.382,"1,319.444"
aesthetic,7.362,898.812
aesthetics,6.861,803.414
afar,6.100,755.963
affable,4.394,779.111
affair,8.574,636.606
affairs,9.427,668.727
affect,9.836,663.258
affectation,4.625,890.304
affected,9.421,748.387
affecting,8.256,747.357
affectingly,0.000,927.654
affection,7.555,695.900
affectionate,7.066,926.033
affectionately,5.553,971.485
affections,5.771,790.219
affects,8.705,656.667
afferent,4.344,"1,104.615"
affianced,2.833,884.250
affidavit,6.611,925.938
affidavits,5.903,953.083
affiliate,7.810,813.344
affiliated,8.420,794.806
affiliates,7.492,870.300
affiliation,8.012,855.355
affiliations,6.954,753.500
affinities,4.500,814.278
affinity,7.134,799.889
affirm,6.509,687.812
affirmation,6.766,759.406
affirmations,6.122,767.903
affirmative,8.747,769.688
affirmatively,4.787,897.719
affirmed,6.780,759.129
affirming,5.826,743.516
affirms,5.823,773.727
affix,5.187,781.103
affixed,5.638,687.344
afflict,4.787,693.545
afflicted,6.594,781.241
affliction,5.971,731.625
afflictions,5.017,817.966
affluence,5.236,747.654
affluent,6.474,747.935
afford,9.833,694.576
afforded,6.733,797.857
affording,4.949,781.455
affords,5.979,704.643
affricate,1.609,815.667
affront,5.829,756.444
affronted,3.611,853.353
affronting,1.386,890.684
Afghan,7.242,813.185
Afghanistan,7.479,967.893
Afghans,5.613,"1,036.304"
aficionado,5.030,776.167
afield,5.690,"1,011.231"
afire,5.094,819.333
aflame,4.394,923.217
afloat,6.028,883.920
afoot,6.075,786.304
aforementioned,7.997,"1,128.688"
aforesaid,5.198,964.375
aforethought,4.127,"1,106.188"
afoul,5.338,863.333
afraid,10.056,599.594
Africa,9.749,683.909
African,9.348,635.156
Africans,7.356,715.636
afro,5.680,825.786
aft,6.839,717.100
after,12.934,658.057
afterbirth,4.043,806.394
aftercare,4.710,"1,027.484"
aftereffect,3.584,"1,446.600"
afterglow,5.193,774.133
afterlife,6.592,784.909
aftermath,6.951,664.667
afternoon,9.262,658.034
