Word,Log_Freq_HAL,I_Mean_RT
adieu,1.9777,900.136
adios,6.203,746.421
adipose,0.6990,887.357
adirondack,5.864,981.1
adirondacks,4.779,917.214
adjacent,1.8388,748.121
adjectival,3.664,1051.0
adjective,1.4150,671.355
adjectives,1.4150,749.844
adjoin,2.303,907.905
adjoined,2.89,754.276
adjoining,1.7634,809.742
adjoins,0.7782,891.852
adjourn,1.8261,733.667
adjourned,2.3997,890.548
adjourning,0.4771,820.214
adjournment,1.0792,977.607
adjourns,0.4771,863.0
adjudge,2.398,784.6
adjudged,0.6021,878.273
adjudging,0.693,1019.429
adjudicate,0.7782,1062.19
adjudication,1.0000,975.562
adjunct,0.9031,758.2
adjuncts,4.7,791.69
adjure,2.303,817.095
adjust,2.4594,656.0
adjustable,1.2304,725.273
adjusted,1.9685,687.235
adjusting,2.0864,721.333
adjustment,2.2014,652.414
adjustments,1.8573,788.226
adjusts,1.0000,748.886
Adlai,5.124,1131.5
administer,1.9345,832.742
administered,1.8865,772.188
administering,1.3979,850.846
administers,0.8451,852.545
administration,2.5888,954.273
administration's,6.822,1056.077
administrative,1.9191,1009.933
administratively,4.564,1010.448
administrator,1.9294,883.529
administrators,1.2788,824.067
admirable,2.1271,807.969
admirably,1.3424,710.065
admiral,8.501,705.938
admirals,1.4771,779.226
admiralty,5.529,936.35
admiration,2.0334,857.828
admire,2.8591,621.029
admired,2.2742,699.212
admirer,2.1818,891.613
admirers,1.6990,744.636
admires,1.4314,594.839
admiring,2.1523,659.226
admiringly,3.526,840.567
admissible,1.5798,895.966
admission,2.2601,694.706
admissions,2.0492,685.875
admit,3.4800,574.647
admits,2.0253,636.774
admittance,1.5441,743.273
admitted,2.6702,774.394
admittedly,1.6812,934.231
admitting,2.1987,698.917
admixed,0.0,1052.2
admonish,0.6990,780.591
admonished,0.6990,947.923
admonishing,0.4771,895.2
admonishments,3.664,923.143
admonition,0.7782,904.15
admonitions,4.533,869.421
ado,1.8921,829.235
adobe,8.847,770.233
adolescence,1.6532,695.062
adolescent,1.9777,780.129
adolescents,1.4771,703.441
adolescent's,0.693,774.353
Adolf,1.8451,815.645
Adonis,1.3222,779.412
adopt,2.3784,614.412
adopted,2.6345,649.758
adopting,1.7853,630.333
adoption,2.3802,687.848
adopts,1.0792,696.471
adorable,2.7308,787.061
adoration,1.4914,801.2
adore,2.5966,737.545
adored,2.1004,677.688
adores,1.9638,722.258
adorn,0.9542,732.6
adorned,0.9542,729.444
adornment,0.6990,965.5
adorns,0.6021,792.037
adrenal,1.2304,867.222
adrenalin,1.4624,858.96
Adrian,8.581,838.778
Adriatic,0.9542,900.889
adrift,1.7160,835.321
adroit,0.8451,884.778
adroitness,1.099,885.818
ads,2.4133,675.4
adsorbed,4.511,728.133
adsorbs,2.565,847.6
adulation,1.1761,942.421
adult,2.8633,546.303
adulterant,1.609,955.059
adulterate,2.944,1083.391
adulterated,4.174,914.069
adulterer,1.3222,969.72
adulterers,0.9031,923.704
adulteress,1.1461,854.654
adulterous,1.2553,933.2
adultery,2.0000,586.697
adulthood,1.5798,639.697
adults,2.6893,561.531
advance,2.9117,626.656
advanced,2.6551,637.324
advancement,1.8062,633.771
advancements,0.9542,907.242
advances,2.1732,671.412
advancing,1.8865,733.031
advantage,3.0515,662.938
advantageous,1.3222,993.679
advantageously,3.555,1083.643
advantages,2.1614,778.152
advent,1.3979,681.879
adventitious,2.89,954.222
adventure,2.8363,631.226
adventurers,1.0792,870.613
adventures,2.2672,761.152
adventuring,0.6990,824.5
adventurous,1.7993,916.207
adverb,1.0414,679.618
adverbial,0.6021,911.375
adverbs,0.7782,761.206
adversaries,1.5051,852.533
adversary,1.8921,790.032
adverse,1.5682,642.941
adversely,1.0792,816.581
adversity,1.7404,752.375
advert,1.1461,768.562
advertise,1.9294,667.424
advertised,1.7243,723.029
advertisement,1.7924,798.939
advertisements,1.4150,839.677
advertiser,7.047,931.839
advertisers,1.3979,872.636
advertises,0.9031,936.156
advertising,2.5798,850.212
advice,3.3888,599.588
advisability,4.078,1059.643
advisable,1.6128,850.2
advise,2.7945,726.862
advised,2.4281,685.743
advisedly,0.7782,838.414
advisement,1.6021,832.741
adviser,1.7324,666.2
advisers,1.1461,750.182
advises,1.3979,760.233
advising,1.8388,632.242
advisor,2.3541,635.647
advisors,1.8261,667.273
advisory,1.7160,647.259
advocacy,1.2041,708.862
advocate,2.0569,621.812
advocated,1.2788,724.467
advocates,1.2553,641.091
advocating,1.2553,785.229
Aegean,1.3010,1022.235
aerate,4.883,954.714
aerated,4.174,1144.167
aerates,2.996,910.0
aeration,5.318,1068.222
aerator,4.06,913.909
aerial,2.1139,828.333
aerials,1.0000,799.826
aerobatic,5.22,817.16
aerobic,1.0000,721.061
aerodynamic,1.3617,1020.769
aeronaut,0.0,1022.158
aeronautical,1.1139,948.217
aeronautics,6.568,984.692
aeroplane,1.8573,842.478
aerosol,1.1761,812.97
aerosolized,0.6021,1195.308
aerosols,5.613,783.731
aerospace,1.7482,883.6
Aeschylus,0.6990,1319.444
aesthetic,1.5441,898.812
aesthetics,1.2041,803.414
afar,1.7782,755.963
affable,0.8451,779.111
affair,3.1770,636.606
affairs,2.8739,668.727
affect,2.7551,663.258
affectation,0.9031,890.304
affected,2.5391,748.387
affecting,2.1173,747.357
affectingly,0.0,927.654
affection,2.6355,695.9
affectionate,2.0645,926.033
affectionately,1.5051,971.485
affections,1.7924,790.219
affects,2.3892,656.667
afferent,4.344,1104.615
affianced,0.6021,884.25
affidavit,2.0043,925.938
affidavits,1.5051,953.083
affiliate,1.2041,813.344
affiliated,1.6128,794.806
affiliates,1.2553,870.3
affiliation,1.4150,855.355
affiliations,1.1761,753.5
affinities,4.5,814.278
affinity,1.4771,799.889
affirm,1.2553,687.812
affirmation,1.4472,759.406
affirmations,1.0414,767.903
affirmative,8.747,769.688
affirmatively,0.6021,897.719
affirmed,0.9031,759.129
affirming,0.6021,743.516
affirms,0.4771,773.727
affix,0.8451,781.103
affixed,5.638,687.344
afflict,0.6990,693.545
afflicted,1.8195,781.241
affliction,1.7853,731.625
afflictions,0.9542,817.966
affluence,0.9031,747.654
affluent,1.2041,747.935
afford,3.3555,694.576
afforded,1.4472,797.857
affording,0.9542,781.455
affords,1.1761,704.643
affricate,1.609,815.667
affront,1.4914,756.444
affronted,0.4771,853.353
affronting,1.386,890.684
Afghan,1.4771,813.185
Afghanistan,1.9731,967.893
Afghans,1.0414,1036.304
aficionado,1.0792,776.167
afield,0.8451,1011.231
afire,1.4150,819.333
aflame,1.2553,923.217
afloat,1.9345,883.92
afoot,1.7243,786.304
aforementioned,1.3979,1128.688
aforesaid,0.6990,964.375
aforethought,0.6021,1106.188
afoul,1.0792,863.333
afraid,4.1015,599.594
Africa,2.9814,683.909
African,2.5391,635.156
Africans,1.7404,715.636
afro,5.68,825.786
aft,2.2577,717.1
after,4.5417,658.057
afterbirth,0.7782,806.394
aftercare,0.7782,1027.484
aftereffect,0.6021,1446.6
afterglow,1.2304,774.133
afterlife,1.9138,784.909
aftermath,1.7324,664.667
afternoon,3.6690,658.034
afternoons,2.0086,742.853
afternoon's,4.443,762.727
aftershave,1.7482,766.375
aftertaste,1.0792,921.655
afterthought,1.1461,716.531
afterward,2.0531,755.647
afterwards,2.8543,699.968
again,4.6067,577.235
against,4.0124,634.152
Agamemnon,1.8633,1044.944
Agamemnon's,2.773,1079.786
agape,5.497,861.294
agar,6.69,820.333
Agatha,5.438,908.105
age,3.6064,530.912
aged,2.2648,644.455
ageless,1.2041,688.062
agencies,2.2175,659.594
agency,2.9965,641.968
agenda,2.5729,739.03
agent,10.002,626.667
agents,3.0314,631.706
agent's,6.791,646.097
ages,2.7543,679.6
Aggie,2.0294,801.75
Aggies,0.6021,819.25
agglomerate,2.485,1076.667
agglomeration,4.127,891.222
agglutinating,3.219,1207.0
agglutination,1.609,1273.0
aggrandize,3.296,1023.429
aggravate,1.5798,821.08
aggravated,1.8129,751.6
aggravates,1.0000,925.875
aggravation,1.7782,839.897
aggregate,1.0414,790.185
aggregation,0.4771,851.8
aggregations,4.344,915.5
aggression,2.1584,711.0
aggressions,0.6990,821.909
aggressive,2.6085,675.206
aggressively,1.5563,674.594
aggressiveness,1.3222,812.75
aggressor,1.4771,732.839
aggrieve,0.0,837.455
aggrieved,1.0414,926.65
aghast,0.9031,693.593
agile,1.3222,661.967
agilely,1.609,1091.714
agility,1.3802,765.038
aging,2.1206,668.121
agitate,1.3617,746.067
agitated,2.1106,852.484
agitating,0.9031,809.63
agitation,1.4150,934.5
agitator,1.0792,838.958
agitators,1.1461,988.048
agleam,0.0,1375.0
aglow,1.3979,709.0
Agnes,6.444,827.704
agnostic,1.3010,800.786
agnostics,5.549,970.25
ago,4.1641,697.8
agonies,1.1139,824.103
agonize,0.7782,756.903
agonized,1.1139,792.571
agonizes,3.258,857.667
agonizing,1.5682,720.781
agony,2.2833,657.879
agoraphobia,0.9031,1114.476
agrarian,0.9542,1054.786
agree,3.5184,589.844
agreeable,1.9138,767.118
agreeableness,1.386,989.04
agreeably,0.6021,819.314
agreed,3.2632,664.03
agreeing,2.0294,665.25
agreement,2.9509,668.3
agreements,1.6232,773.121
agrees,2.3424,686.5
agricultural,1.6902,970.207
agriculturalist,0.4771,995.517
agriculturally,3.664,1103.172
agriculture,8.606,784.265
agriculture's,3.258,873.3
agriculturist,0.0,1085.769
Agrippa,4.554,916.3
agronomy,5.182,1144.4
aground,1.4150,915.533
ah,10.016,829.481
ahead,4.0050,722.971
ahem,7.589,792.625
ahoy,5.257,931.5
aid,2.8513,580.121
aide,2.0170,707.207
aided,1.5315,671.706
aides,1.5185,815.0
aiding,1.7404,796.321
aids,1.7404,616.909
ail,1.0792,711.85
ailing,1.4314,725.8
ailment,1.4314,841.621
ailments,1.5051,720.0
aim,2.8802,646.219
aimed,2.0000,669.655
aiming,2.2878,678.0
aimless,1.1761,616.909
aimlessly,1.3424,858.333
aims,1.7853,635.226
ain't,9.952,673.276
air,3.8507,589.8
airbase,0.7782,766.818
airbed,0.0,717.633
airbladder,0.0,947.435
airborne,2.3345,716.719
airbrake,3.091,777.844
airbus,6.354,778.367
aircraft,2.6839,647.303
aircraft's,4.942,798.545
aircrew,4.836,833.25
aircushion,0.0,1006.667
airdrop,0.4771,832.606
airdrops,3.332,888.414
aired,1.6628,781.781
airfield,2.0755,842.7
airfields,0.9031,781.0
airflow,0.9031,827.161
airforce,5.93,701.188
airframe,6.087,868.433
airily,2.773,877.579
airless,0.7782,651.844
airlift,1.1761,767.156
airline,2.5211,698.0
airliner,1.4771,686.355
airlines,8.743,611.727
airlock,1.6335,686.515
airmail,1.2553,672.29
airman's,3.401,939.0
airmen,1.5441,702.621
airpark,4.407,886.368
airplane,2.7466,673.774
airplanes,2.2175,675.818
airport,3.2880,619.844
airports,1.8513,700.697
airs,1.6021,734.613
airshaft,1.099,818.645
airship,1.4914,663.516
airsick,1.2304,780.552
airspace,1.9191,684.364
airspeed,1.3979,810.0
airstrip,1.7634,954.069
airstrips,0.6021,900.968
airtight,1.7634,834.333
airway,1.9243,640.829
airways,6.817,731.375
airy,1.2304,727.792
aisle,2.5798,709.618
ajar,1.3802,720.103
akin,1.1761,853.474
Akron,1.5911,767.25
Al,3.7248,686.258
Alabama,2.3692,696.355
Alabamans,1.792,904.438
alabaster,1.5441,805.952
Alamo,1.8692,750.719
Alamogordo,4.454,671.25
Alan,3.2245,673.645
alarm,3.1827,612.176
alarmed,2.1818,573.375
alarming,1.7709,724.576
alarmingly,0.9542,893.767
alarmist,1.2553,794.929
alarms,2.1987,572.656
alas,8.379,733.0
Alaska,2.3502,537.303
albacore,0.9542,894.357
Albania,1.5441,763.0
Albanian,1.7076,811.323
Albanians,7.5,938.515
Albany,2.0334,742.406
albatross,1.6128,818.15
albeit,1.5911,782.0
Albert,2.9777,620.594
albino,1.7782,818.792
album,2.7185,580.5
albumin,0.6990,708.0
albums,2.0792,705.0
alchemist,1.1761,862.667
alchemy,1.0792,851.3
alcohol,2.9274,668.844
alcoholic,2.5011,670.121
alcoholics,1.7404,867.758
alcoholism,1.6435,759.118
alcohols,4.934,766.903
alcove,1.3979,807.947
alcoves,0.4771,817.353
alderman,5.17,939.474
aldermen,2.398,892.15
ale,2.3075,698.6
alehouse,2.197,1136.615
alert,3.0220,582.75
alerted,1.9638,724.844
alerting,1.2788,685.375
alertly,0.4771,773.292
alertness,0.6990,756.219
alerts,1.1761,678.312
Alex,9.828,586.206
Alexander,2.6866,698.576
Alexander's,6.047,823.588
Alexandria,1.5911,719.676
Alexei,6.838,1035.846
Alexis,7.289,704.121
Alex's,6.34,651.471
alfalfa,1.5315,934.542
Alfonso,1.6532,788.962
Alfred,2.5717,728.424
alfredo,6.713,811.333
Alfred's,3.638,727.242
alga,4.19,873.625
algae,1.3617,726.815
algaecide,1.099,1504.0
algebra,1.9590,697.387
algebraic,0.6021,813.0
algebraically,4.277,975.333
Algeria,1.3802,846.69
Algerian,1.3424,804.531
